model,architectures,mappings
jcy204/wind_model2,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
tanoManzo/distilbert-attitude,DistilBertForSequenceClassification,"{""Overall Positive Note"": ""2"", ""Overall Negative Note"": ""0"", ""Overall Neutral Note"": ""1""}"
memotirre90/Equipo16_gpt2-HotelSentiment,BertForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
sasha/autotrain-RobertaBaseTweetEval-1281048989,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
AlonCohen/RuSentNE-iter-2,DebertaV2ForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
yanezh/twiiter_try11_fold2,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
eduardopds/distilbert-base-uncased-tweets,DistilBertForSequenceClassification,"{""negativ"": ""0"", ""positiv"": ""2"", ""neutral"": ""1""}"
dshin/my_awesome_model,BertForSequenceClassification,"{""AGREE"": ""2"", ""NEUTRAL"": ""1"", ""DISAGREE"": ""0""}"
intanm/mlm_v1_20230327_fin_sa_60,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-fulldata,BertForSequenceClassification,"{""negative"": ""0"", ""positive"": ""2"", ""neutral"": ""1""}"
Q317/EmoraBert,RobertaForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
intanm/mlm_v1_20230327_fin_sa_20,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
yanezh/twiiter_try15_fold2,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
BeChi87/train_model_Lastest_new,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
Q317/EmoraBert4,RobertaForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
yanezh/twiiter_try13_fold4,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
intanm/mlm_v1_20230327_fin_sa_70,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
Rem59/autotrain-Test_2-789524315,CamembertForSequenceClassification,"{""1"": ""2"", ""0"": ""1"", ""-1"": ""2""}"
sasha/autotrain-DistilBERT-TweetEval-1281148992,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
intanm/fin-sa-post-trained-indobert-large-finnews-p2-002,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
jcy204/cold_model,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEGATIVE"": ""0"", ""NEUTRAL"": ""1""}"
salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-run1,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
W4nkel/microsoftTurkishTrain,BertForSequenceClassification,"{""NOTR"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
Svetlana0303/Classfication_AlBERT,AlbertForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
yanezh/twiiter_try13_fold2,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
fassahat/distilbert-base-uncased-finetuned-557k-patent-sentences,DistilBertForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-norm_inv_const5-gamma3,BertForSequenceClassification,"{""negative"": ""0"", ""positive"": ""2"", ""neutral"": ""1""}"
salohnana2018/ABSA-single-domainAdapt-bert-base-MARBERT2-HARD,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
cruiser/final_model,BertForSequenceClassification,"{""Positive"": ""2"", ""Negative"": ""0"", ""Neutral"": ""1""}"
Svetlana0303/Classfication_RoBERTa,RobertaForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
kreynolds03/Solomon,DistilBertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
KarelDO/lstm.CEBaB_confounding.uniform.absa.5-class.seed_42,LSTMForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
BeChi87/train_model_Lastest_16_8_lan3,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEG"": ""0"", ""NEU"": ""1""}"
madmancity/bert2,BertForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
sasha/autotrain-RobertaBaseTweetEval-1281048986,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
yanezh/twiiter_try13_fold3,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
Anwaarma/autotrain-testsen-65460136124,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
