model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags
ys7yoo/nli_klue_roberta_large_ep9,"['LABEL_0', 'LABEL_1', 'LABEL_2']",650325c285d1262ed95649c8,3,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-14 15:34:03+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta_large_ep5_core,"['LABEL_0', 'LABEL_1', 'LABEL_2']",6505cd12c6ae3df8f2afa0cb,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-16 15:52:20+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/sts_nli_roberta-large_lr1e-05_wd1e-03,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65070e290f44c341cd98c658,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-17 14:47:11+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_sts_roberta_large_lr1e-05_wd1e-03_ep10_lr1e-05_wd1e-03_ep10_ckpt,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65071a7fc3d1e53166d8fb3b,2,0,['RobertaForSequenceClassification'],['klue'],,"['accuracy', 'f1']",text-classification,2023-09-17 16:10:54+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'dataset:klue', 'base_model:ys7yoo/sts_roberta_large_lr1e-05_wd1e-03_ep10', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_roberta-large_lr1e-05_wd1e-03_ep3,"['LABEL_1', 'LABEL_0', 'LABEL_2']",6507a7313fc966d1bbad9d3f,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-18 01:45:34+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta_large_lr1e-05_wd1e-03_ep10,"['LABEL_1', 'LABEL_0', 'LABEL_2']",6507b7fbeac45ee2e42a2fd9,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-18 02:53:05+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
muhammadravi251001/fine-tuned-NLI-indonesian-with-xlm-roberta-large,"['entailment', 'contradiction', 'neutral']",65201682494d6b37a926f0d6,2,0,['XLMRobertaForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-10-07 16:11:07+00:00,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
muhammadravi251001/fine-tuned-NLI-indonli-with-xlm-roberta-large,"['neutral', 'entailment', 'contradiction']",653ca4e6cbc8ae32a5cc3301,2,0,['XLMRobertaForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-10-28 07:05:40+00:00,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
muhammadravi251001/fine-tuned-NLI-indonli_mnli_idkmrc-nli-with-xlm-roberta-large,"['neutral', 'entailment', 'contradiction']",653cd398ce2f3daaf4bd1ff3,2,0,['XLMRobertaForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-10-28 20:10:02+00:00,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
muhammadravi251001/fine-tuned-NLI-indonli_mnli_tydiqaid-nli-with-xlm-roberta-large,"['neutral', 'entailment', 'contradiction']",653d6bb477c2f09452a21b03,2,0,['XLMRobertaForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-10-29 09:01:58+00:00,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
muhammadravi251001/fine-tuned-NLI-indonli_mnli_squadid-nli-with-xlm-roberta-large,"['neutral', 'entailment', 'contradiction']",653e6124284fa7923ccbffdf,2,0,['XLMRobertaForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-10-31 01:43:39+00:00,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_sts_roberta-large_lr1e-05_wd1e-03_ep3_lr1e-05_wd1e-03_ep3_ckpt,"['LABEL_0', 'LABEL_1', 'LABEL_2']",6556c2bbdf3c800e011ef805,2,0,['RobertaForSequenceClassification'],['klue'],,"['accuracy', 'f1']",text-classification,2023-11-17 02:45:59+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'dataset:klue', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_sts_roberta-large_lr1e-05_wd1e-03_ep3_lr1e-05_wd1e-03_ep3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",6556ca94b16ff8c97f639455,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-11-17 02:47:49+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
AdamCodd/distilroberta-NLI,"['Entailment', 'Contradiction', 'Neutral']",657a281ecf03a3ea584faf6e,2,0,['RobertaForSequenceClassification'],"['snli', 'multi_nli']",['en'],"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-12-13 22:55:11+00:00,"['transformers', 'onnx', 'safetensors', 'roberta', 'text-classification', 'en', 'dataset:snli', 'dataset:multi_nli', 'model-index', 'autotrain_compatible', 'region:us']"
ys7yoo/nli_klue_roberta-large,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65add0edcb5b4fb08efc98d5,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2024-01-22 02:27:19+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta-large_v2,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65b8a7b010b357560687a772,1,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2024-01-30 07:46:16+00:00,"['transformers', 'safetensors', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
LazarusNLP/indobert-lite-base-p1-indonli-multilingual-nli-distil-mdeberta,"['entailment', 'contradiction', 'neutral']",65b9cc1e98bd7a573bc21acf,2,0,['AlbertForSequenceClassification'],"['indonli', 'MoritzLaurer/multilingual-NLI-26lang-2mil7', 'LazarusNLP/multilingual-NLI-26lang-2mil7-id']",['ind'],"['accuracy', 'f1', 'precision', 'recall']",text-classification,2024-01-31 05:21:54+00:00,"['transformers', 'tensorboard', 'safetensors', 'albert', 'text-classification', 'generated_from_trainer', 'ind', 'dataset:indonli', 'dataset:MoritzLaurer/multilingual-NLI-26lang-2mil7', 'dataset:LazarusNLP/multilingual-NLI-26lang-2mil7-id', 'arxiv:1909.11942', 'arxiv:2110.14566', 'base_model:indobenchmark/indobert-lite-base-p1', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta-large_v3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65ba0e321ea129ef44765daf,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2024-01-31 09:15:59+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
k4black/roberta-base-e-snli-classification-nli_explanation-base,"['neutral', 'entailment', 'contradiction']",6431aba79da0169925121e79,1,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-04-08 18:41:15+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
muhammadravi251001/fine-tuned-NLI-multilingual-with-xlm-roberta-large,"['neutral', 'entailment', 'contradiction']",64fd3778491fad09635c80e4,1,0,['XLMRobertaForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-09-12 23:21:59+00:00,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta_base_ep11,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65027c3b06a2c356287e3f18,1,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-14 03:25:03+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta_large_ep7,"['LABEL_0', 'LABEL_1', 'LABEL_2']",6502c88e64b7438a0242ce68,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-14 08:57:14+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta_base_ep1,"['LABEL_0', 'LABEL_1', 'LABEL_2']",6502d2451a5924e2281f145c,1,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-14 09:32:09+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta-large_lr1e-05_wd1e-03,"['LABEL_1', 'LABEL_0', 'LABEL_2']",6505dbca9c5e6b2767a6a6d2,1,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-16 16:55:10+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
muhammadravi251001/fine-tuned-NLI-indonli_mnli-with-xlm-roberta-large,"['neutral', 'entailment', 'contradiction']",653cb3bbcd52f28849bc0413,2,0,['XLMRobertaForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-10-28 18:22:08+00:00,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_bert-base,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65a6a118a57bd99a511aff4f,1,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2024-01-16 15:32:48+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta-base,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65a87ef2669921943c232012,1,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2024-01-18 01:31:37+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/sts-nli_klue_bert-base,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65b0c19e38a0c8f7704b75c0,1,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2024-01-24 07:54:14+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
m4faisal/NLI-Conventional-Fine-Tuning,"['LABEL_1', 'LABEL_0', 'LABEL_2']",65c56f6c27b8c11e43f04a07,42,0,['AlbertForSequenceClassification'],NA,NA,NA,text-classification,2024-03-20 23:32:01+00:00,"['transformers', 'tensorboard', 'safetensors', 'albert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
